epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8693408370018005,9.999999747378752e-05,0.4426373541355133,0.888188898563385,0.4364120364189148
1,0.9785568714141846,9.999999747378752e-05,0.0672541931271553,0.8928523659706116,0.43121883273124695
0,0.9804002642631531,9.999999747378752e-05,0.0634409487247467,0.5018609166145325,2.022853374481201
1,0.9888330101966858,9.999999747378752e-05,0.03598823770880699,0.4006770849227905,2.2506420612335205
2,0.991034984588623,9.999999747378752e-05,0.028516074642539024,0.47686201333999634,2.0451622009277344
3,0.9922732710838318,9.999999747378752e-05,0.024721095338463783,0.6771893501281738,1.356558918952942
4,0.9932034015655518,9.999999747378752e-05,0.021161505952477455,0.5156943798065186,1.8223050832748413
5,0.994318425655365,9.999999747378752e-05,0.018190333619713783,0.48170486092567444,2.026073932647705
6,0.9945537447929382,9.999999747378752e-05,0.017376702278852463,0.8148513436317444,0.9184872508049011
7,0.9954558610916138,9.999999747378752e-05,0.014530131593346596,0.6999237537384033,1.4264379739761353
8,0.9954558610916138,9.999999747378752e-05,0.014606968499720097,0.389847993850708,2.504002332687378
9,0.9956967830657959,9.999999747378752e-05,0.013848942704498768,0.3989955484867096,2.42683744430542
10,0.9962459206581116,9.999999747378752e-05,0.012781537137925625,0.6403300166130066,1.5244499444961548
0,0.9950580596923828,9.999999747378752e-05,0.015503562986850739,0.028227433562278748,6.796189785003662
1,0.9954278469085693,9.999999747378752e-05,0.015104333870112896,0.10066813230514526,4.273401737213135
2,0.9962347149848938,9.999999747378752e-05,0.012510287575423717,0.662010669708252,1.4152523279190063
3,0.9961898922920227,9.999999747378752e-05,0.012419022619724274,0.5831801295280457,1.6940385103225708
4,0.9964532256126404,9.999999747378752e-05,0.012100241146981716,0.4716828763484955,2.265700340270996
